instant,dteday,season,yr,mnth,hr,weekday,daystatus,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,level_pengguna
1310,2011-02-27,Spring,2011,Februari,18,Minggu,Holiday,clear,0.4,0.4091,0.54,0.194,24,103,127,Middle
1311,2011-02-27,Spring,2011,Februari,19,Minggu,Holiday,clear,0.4,0.4091,0.54,0.1343,16,86,102,Middle
1312,2011-02-27,Spring,2011,Februari,20,Minggu,Holiday,clear,0.4,0.4091,0.54,0.0896,9,72,81,Middle
1313,2011-02-27,Spring,2011,Februari,21,Minggu,Holiday,clear,0.38,0.3939,0.62,0.1642,8,61,69,Middle
1314,2011-02-27,Spring,2011,Februari,22,Minggu,Holiday,mist,0.38,0.3939,0.62,0.1045,2,67,69,Middle
1315,2011-02-27,Spring,2011,Februari,23,Minggu,Holiday,mist,0.36,0.3485,0.62,0.1642,6,53,59,Middle
1316,2011-02-28,Spring,2011,Februari,0,Senin,Workingday,mist,0.36,0.3636,0.66,0.1045,5,25,30,Low
1317,2011-02-28,Spring,2011,Februari,1,Senin,Workingday,light snow,0.34,0.303,0.87,0.3582,1,7,8,Low
1318,2011-02-28,Spring,2011,Februari,3,Senin,Workingday,light snow,0.32,0.3182,0.93,0.1642,0,1,1,Low
1319,2011-02-28,Spring,2011,Februari,5,Senin,Workingday,mist,0.34,0.3636,0.93,0.0,1,4,5,Low
1320,2011-02-28,Spring,2011,Februari,6,Senin,Workingday,mist,0.34,0.3485,0.96,0.1045,1,27,28,Low
1321,2011-02-28,Spring,2011,Februari,7,Senin,Workingday,mist,0.36,0.3636,0.93,0.1045,2,90,92,Middle
1322,2011-02-28,Spring,2011,Februari,8,Senin,Workingday,mist,0.34,0.303,0.93,0.2985,13,242,255,Middle
1323,2011-02-28,Spring,2011,Februari,9,Senin,Workingday,clear,0.42,0.4242,0.82,0.2836,15,127,142,Middle
1324,2011-02-28,Spring,2011,Februari,10,Senin,Workingday,mist,0.52,0.5,0.72,0.4925,13,79,92,Middle
1325,2011-02-28,Spring,2011,Februari,11,Senin,Workingday,mist,0.56,0.5303,0.64,0.2985,13,74,87,Middle
1326,2011-02-28,Spring,2011,Februari,12,Senin,Workingday,mist,0.56,0.5303,0.64,0.2985,0,36,36,Low
1327,2011-02-28,Spring,2011,Februari,13,Senin,Workingday,light snow,0.46,0.4545,0.94,0.2239,1,31,32,Low
1328,2011-02-28,Spring,2011,Februari,14,Senin,Workingday,light snow,0.42,0.4242,1.0,0.2985,1,24,25,Low
1329,2011-02-28,Spring,2011,Februari,15,Senin,Workingday,light snow,0.42,0.4242,1.0,0.2985,0,35,35,Low
1330,2011-02-28,Spring,2011,Februari,16,Senin,Workingday,light snow,0.42,0.4242,1.0,0.1343,2,40,42,Middle
1331,2011-02-28,Spring,2011,Februari,17,Senin,Workingday,light snow,0.4,0.4091,1.0,0.2985,2,77,79,Middle
1332,2011-02-28,Spring,2011,Februari,18,Senin,Workingday,light snow,0.46,0.4545,0.94,0.194,4,127,131,Middle
1333,2011-02-28,Spring,2011,Februari,19,Senin,Workingday,light snow,0.44,0.4394,0.88,0.6119,1,79,80,Middle
1334,2011-02-28,Spring,2011,Februari,20,Senin,Workingday,light snow,0.44,0.4394,0.88,0.6119,0,45,45,Middle
1335,2011-02-28,Spring,2011,Februari,21,Senin,Workingday,mist,0.38,0.3939,0.87,0.3881,2,78,80,Middle
1336,2011-02-28,Spring,2011,Februari,22,Senin,Workingday,light snow,0.34,0.303,0.93,0.4179,4,72,76,Middle
1337,2011-02-28,Spring,2011,Februari,23,Senin,Workingday,mist,0.32,0.2879,0.81,0.3881,0,45,45,Middle
1338,2011-03-01,Spring,2011,Maret,0,Selasa,Workingday,clear,0.3,0.2727,0.7,0.4627,0,7,7,Low
1339,2011-03-01,Spring,2011,Maret,1,Selasa,Workingday,clear,0.26,0.2273,0.7,0.3582,0,3,3,Low
1340,2011-03-01,Spring,2011,Maret,2,Selasa,Workingday,clear,0.24,0.2121,0.65,0.3881,0,4,4,Low
1341,2011-03-01,Spring,2011,Maret,3,Selasa,Workingday,clear,0.22,0.2121,0.69,0.2836,0,2,2,Low
1342,2011-03-01,Spring,2011,Maret,4,Selasa,Workingday,clear,0.22,0.2121,0.69,0.2537,0,1,1,Low
1343,2011-03-01,Spring,2011,Maret,5,Selasa,Workingday,clear,0.2,0.1818,0.64,0.2836,1,1,2,Low
1344,2011-03-01,Spring,2011,Maret,6,Selasa,Workingday,clear,0.2,0.1818,0.59,0.2985,0,46,46,Middle
1345,2011-03-01,Spring,2011,Maret,7,Selasa,Workingday,clear,0.2,0.1818,0.59,0.3284,2,105,107,Middle
1346,2011-03-01,Spring,2011,Maret,8,Selasa,Workingday,clear,0.2,0.1818,0.59,0.3881,10,204,214,Middle
1347,2011-03-01,Spring,2011,Maret,9,Selasa,Workingday,clear,0.22,0.197,0.55,0.4179,8,116,124,Middle
1348,2011-03-01,Spring,2011,Maret,10,Selasa,Workingday,clear,0.24,0.2121,0.52,0.2836,13,55,68,Middle
1349,2011-03-01,Spring,2011,Maret,11,Selasa,Workingday,clear,0.28,0.2727,0.45,0.2537,8,48,56,Middle
1350,2011-03-01,Spring,2011,Maret,12,Selasa,Workingday,clear,0.3,0.303,0.39,0.1343,6,80,86,Middle
1351,2011-03-01,Spring,2011,Maret,13,Selasa,Workingday,clear,0.32,0.3485,0.39,0.0,13,65,78,Middle
1352,2011-03-01,Spring,2011,Maret,14,Selasa,Workingday,clear,0.32,0.3333,0.36,0.1343,18,61,79,Middle
1353,2011-03-01,Spring,2011,Maret,15,Selasa,Workingday,clear,0.34,0.3636,0.34,0.0,7,57,64,Middle
1354,2011-03-01,Spring,2011,Maret,16,Selasa,Workingday,clear,0.34,0.3485,0.34,0.0896,10,92,102,Middle
1355,2011-03-01,Spring,2011,Maret,17,Selasa,Workingday,clear,0.34,0.3485,0.34,0.0896,12,230,242,Middle
1356,2011-03-01,Spring,2011,Maret,18,Selasa,Workingday,clear,0.32,0.3182,0.39,0.194,10,214,224,Middle
1357,2011-03-01,Spring,2011,Maret,19,Selasa,Workingday,clear,0.3,0.303,0.49,0.1343,4,115,119,Middle
1358,2011-03-01,Spring,2011,Maret,20,Selasa,Workingday,clear,0.3,0.3182,0.61,0.0896,2,86,88,Middle
1359,2011-03-01,Spring,2011,Maret,21,Selasa,Workingday,clear,0.26,0.303,0.56,0.0,8,55,63,Middle
1360,2011-03-01,Spring,2011,Maret,22,Selasa,Workingday,clear,0.24,0.2727,0.62,0.1045,3,44,47,Middle
1361,2011-03-01,Spring,2011,Maret,23,Selasa,Workingday,clear,0.24,0.2273,0.65,0.2239,2,23,25,Low
1362,2011-03-02,Spring,2011,Maret,0,Rabu,Workingday,clear,0.22,0.2273,0.69,0.1642,3,5,8,Low
1363,2011-03-02,Spring,2011,Maret,1,Rabu,Workingday,clear,0.22,0.2273,0.69,0.194,0,4,4,Low
1364,2011-03-02,Spring,2011,Maret,2,Rabu,Workingday,clear,0.22,0.2273,0.69,0.194,0,2,2,Low
1365,2011-03-02,Spring,2011,Maret,3,Rabu,Workingday,clear,0.22,0.2121,0.69,0.2836,3,1,4,Low
1366,2011-03-02,Spring,2011,Maret,4,Rabu,Workingday,clear,0.2,0.2121,0.75,0.1343,1,0,1,Low
1367,2011-03-02,Spring,2011,Maret,5,Rabu,Workingday,clear,0.22,0.2121,0.69,0.2239,0,5,5,Low
1368,2011-03-02,Spring,2011,Maret,6,Rabu,Workingday,clear,0.22,0.2121,0.55,0.2537,1,39,40,Low
1369,2011-03-02,Spring,2011,Maret,7,Rabu,Workingday,clear,0.22,0.2121,0.64,0.2537,2,108,110,Middle
1370,2011-03-02,Spring,2011,Maret,8,Rabu,Workingday,clear,0.24,0.2121,0.65,0.2836,13,243,256,Middle
1371,2011-03-02,Spring,2011,Maret,9,Rabu,Workingday,clear,0.28,0.2576,0.56,0.2985,7,141,148,Middle
1372,2011-03-02,Spring,2011,Maret,10,Rabu,Workingday,clear,0.32,0.303,0.49,0.2836,11,65,76,Middle
1373,2011-03-02,Spring,2011,Maret,11,Rabu,Workingday,clear,0.34,0.303,0.53,0.3284,8,65,73,Middle
1374,2011-03-02,Spring,2011,Maret,12,Rabu,Workingday,clear,0.4,0.4091,0.43,0.194,20,62,82,Middle
1375,2011-03-02,Spring,2011,Maret,13,Rabu,Workingday,clear,0.5,0.4848,0.25,0.0,35,90,125,Middle
1376,2011-03-02,Spring,2011,Maret,14,Rabu,Workingday,clear,0.52,0.5,0.23,0.2985,21,75,96,Middle
1377,2011-03-02,Spring,2011,Maret,15,Rabu,Workingday,clear,0.54,0.5152,0.19,0.4179,19,91,110,Middle
1378,2011-03-02,Spring,2011,Maret,16,Rabu,Workingday,clear,0.54,0.5152,0.19,0.3284,27,112,139,Middle
1379,2011-03-02,Spring,2011,Maret,17,Rabu,Workingday,clear,0.5,0.4848,0.23,0.2836,30,238,268,Middle
1380,2011-03-02,Spring,2011,Maret,18,Rabu,Workingday,clear,0.46,0.4545,0.23,0.4925,8,193,201,Middle
1381,2011-03-02,Spring,2011,Maret,19,Rabu,Workingday,clear,0.4,0.4091,0.28,0.5224,6,144,150,Middle
1382,2011-03-02,Spring,2011,Maret,20,Rabu,Workingday,clear,0.36,0.3333,0.29,0.4179,9,86,95,Middle
1383,2011-03-02,Spring,2011,Maret,21,Rabu,Workingday,clear,0.34,0.2879,0.29,0.4627,3,68,71,Middle
1384,2011-03-02,Spring,2011,Maret,22,Rabu,Workingday,clear,0.3,0.2576,0.26,0.5522,4,44,48,Middle
1385,2011-03-02,Spring,2011,Maret,23,Rabu,Workingday,clear,0.26,0.2121,0.3,0.5224,0,22,22,Low
1386,2011-03-03,Spring,2011,Maret,0,Kamis,Workingday,clear,0.24,0.197,0.3,0.4627,3,10,13,Low
1387,2011-03-03,Spring,2011,Maret,1,Kamis,Workingday,clear,0.24,0.197,0.3,0.4627,0,1,1,Low
1388,2011-03-03,Spring,2011,Maret,2,Kamis,Workingday,clear,0.2,0.1667,0.27,0.4627,1,2,3,Low
1389,2011-03-03,Spring,2011,Maret,3,Kamis,Workingday,clear,0.2,0.1667,0.27,0.4627,0,1,1,Low
1390,2011-03-03,Spring,2011,Maret,4,Kamis,Workingday,clear,0.16,0.1212,0.31,0.4925,0,1,1,Low
1391,2011-03-03,Spring,2011,Maret,5,Kamis,Workingday,clear,0.14,0.1212,0.33,0.2985,1,7,8,Low
1392,2011-03-03,Spring,2011,Maret,6,Kamis,Workingday,clear,0.14,0.1212,0.33,0.2985,1,34,35,Low
1393,2011-03-03,Spring,2011,Maret,7,Kamis,Workingday,clear,0.12,0.0909,0.42,0.4179,1,110,111,Middle
1394,2011-03-03,Spring,2011,Maret,8,Kamis,Workingday,clear,0.14,0.1212,0.39,0.2985,4,216,220,Middle
1395,2011-03-03,Spring,2011,Maret,9,Kamis,Workingday,clear,0.16,0.1364,0.37,0.2836,10,135,145,Middle
1396,2011-03-03,Spring,2011,Maret,10,Kamis,Workingday,clear,0.18,0.1818,0.29,0.194,7,49,56,Middle
1397,2011-03-03,Spring,2011,Maret,11,Kamis,Workingday,clear,0.2,0.2273,0.29,0.0896,10,40,50,Middle
1398,2011-03-03,Spring,2011,Maret,12,Kamis,Workingday,clear,0.22,0.2273,0.25,0.1343,7,65,72,Middle
1399,2011-03-03,Spring,2011,Maret,13,Kamis,Workingday,clear,0.22,0.2576,0.25,0.0896,13,67,80,Middle
1400,2011-03-03,Spring,2011,Maret,14,Kamis,Workingday,clear,0.24,0.2576,0.21,0.1045,18,60,78,Middle
1401,2011-03-03,Spring,2011,Maret,15,Kamis,Workingday,clear,0.24,0.2879,0.23,0.0,6,62,68,Middle
1402,2011-03-03,Spring,2011,Maret,16,Kamis,Workingday,clear,0.26,0.303,0.23,0.0,6,65,71,Middle
1403,2011-03-03,Spring,2011,Maret,17,Kamis,Workingday,clear,0.26,0.303,0.22,0.0,17,185,202,Middle
1404,2011-03-03,Spring,2011,Maret,18,Kamis,Workingday,clear,0.24,0.2121,0.35,0.3284,6,161,167,Middle
1405,2011-03-03,Spring,2011,Maret,19,Kamis,Workingday,clear,0.2,0.197,0.4,0.2537,5,101,106,Middle
1406,2011-03-03,Spring,2011,Maret,20,Kamis,Workingday,clear,0.2,0.2273,0.4,0.0896,1,69,70,Middle
1407,2011-03-03,Spring,2011,Maret,21,Kamis,Workingday,clear,0.18,0.2121,0.4,0.1045,3,48,51,Middle
1408,2011-03-03,Spring,2011,Maret,22,Kamis,Workingday,clear,0.2,0.2576,0.4,0.0,3,50,53,Middle
1409,2011-03-03,Spring,2011,Maret,23,Kamis,Workingday,mist,0.18,0.2121,0.43,0.0896,0,23,23,Low
1410,2011-03-04,Spring,2011,Maret,0,Jumat,Workingday,mist,0.2,0.197,0.55,0.194,0,12,12,Low
1411,2011-03-04,Spring,2011,Maret,1,Jumat,Workingday,mist,0.18,0.1818,0.64,0.194,0,4,4,Low
1412,2011-03-04,Spring,2011,Maret,2,Jumat,Workingday,mist,0.18,0.1818,0.64,0.194,0,2,2,Low
1413,2011-03-04,Spring,2011,Maret,3,Jumat,Workingday,mist,0.18,0.1667,0.74,0.2537,0,1,1,Low
1414,2011-03-04,Spring,2011,Maret,4,Jumat,Workingday,mist,0.18,0.1818,0.74,0.194,1,0,1,Low
1415,2011-03-04,Spring,2011,Maret,5,Jumat,Workingday,mist,0.16,0.1818,0.74,0.1343,0,7,7,Low
1416,2011-03-04,Spring,2011,Maret,6,Jumat,Workingday,mist,0.16,0.197,0.74,0.0896,1,28,29,Low
1417,2011-03-04,Spring,2011,Maret,7,Jumat,Workingday,clear,0.16,0.1818,0.8,0.1343,0,83,83,Middle
1418,2011-03-04,Spring,2011,Maret,8,Jumat,Workingday,clear,0.18,0.197,0.74,0.1343,6,222,228,Middle
1419,2011-03-04,Spring,2011,Maret,9,Jumat,Workingday,clear,0.22,0.2273,0.6,0.1343,12,138,150,Middle
1420,2011-03-04,Spring,2011,Maret,10,Jumat,Workingday,clear,0.24,0.2273,0.6,0.2537,10,56,66,Middle
1421,2011-03-04,Spring,2011,Maret,11,Jumat,Workingday,clear,0.28,0.2727,0.52,0.2239,16,73,89,Middle
1422,2011-03-04,Spring,2011,Maret,12,Jumat,Workingday,clear,0.32,0.303,0.43,0.1642,10,87,97,Middle
1423,2011-03-04,Spring,2011,Maret,13,Jumat,Workingday,clear,0.34,0.3182,0.42,0.2239,13,74,87,Middle
1424,2011-03-04,Spring,2011,Maret,14,Jumat,Workingday,clear,0.36,0.3333,0.4,0.2836,30,65,95,Middle
1425,2011-03-04,Spring,2011,Maret,15,Jumat,Workingday,clear,0.36,0.3333,0.4,0.2985,31,75,106,Middle
1426,2011-03-04,Spring,2011,Maret,16,Jumat,Workingday,clear,0.36,0.3485,0.46,0.194,17,101,118,Middle
1427,2011-03-04,Spring,2011,Maret,17,Jumat,Workingday,mist,0.36,0.3333,0.5,0.2537,22,206,228,Middle
1428,2011-03-04,Spring,2011,Maret,18,Jumat,Workingday,mist,0.34,0.303,0.53,0.2985,15,172,187,Middle
1429,2011-03-04,Spring,2011,Maret,19,Jumat,Workingday,clear,0.32,0.303,0.61,0.2537,5,102,107,Middle
1430,2011-03-04,Spring,2011,Maret,20,Jumat,Workingday,mist,0.3,0.2879,0.7,0.194,9,78,87,Middle
1431,2011-03-04,Spring,2011,Maret,21,Jumat,Workingday,mist,0.3,0.2879,0.7,0.2239,6,64,70,Middle
1432,2011-03-04,Spring,2011,Maret,22,Jumat,Workingday,clear,0.3,0.2879,0.7,0.194,4,40,44,Middle
1433,2011-03-04,Spring,2011,Maret,23,Jumat,Workingday,mist,0.3,0.303,0.75,0.1642,6,40,46,Middle
1434,2011-03-05,Spring,2011,Maret,0,Sabtu,Holiday,mist,0.28,0.2879,0.81,0.1045,4,15,19,Low
1435,2011-03-05,Spring,2011,Maret,1,Sabtu,Holiday,mist,0.3,0.3182,0.81,0.1045,5,20,25,Low
1436,2011-03-05,Spring,2011,Maret,2,Sabtu,Holiday,mist,0.3,0.2879,0.87,0.194,5,15,20,Low
1437,2011-03-05,Spring,2011,Maret,3,Sabtu,Holiday,mist,0.3,0.2879,0.87,0.194,0,2,2,Low
1438,2011-03-05,Spring,2011,Maret,4,Sabtu,Holiday,mist,0.3,0.303,0.93,0.1642,0,1,1,Low
1439,2011-03-05,Spring,2011,Maret,5,Sabtu,Holiday,mist,0.3,0.303,1.0,0.1343,0,3,3,Low
1440,2011-03-05,Spring,2011,Maret,6,Sabtu,Holiday,mist,0.3,0.2879,1.0,0.2239,1,3,4,Low
1441,2011-03-05,Spring,2011,Maret,7,Sabtu,Holiday,mist,0.3,0.2727,1.0,0.2985,5,10,15,Low
1442,2011-03-05,Spring,2011,Maret,8,Sabtu,Holiday,mist,0.3,0.2727,1.0,0.2985,11,34,45,Middle
1443,2011-03-05,Spring,2011,Maret,9,Sabtu,Holiday,mist,0.32,0.303,0.93,0.2239,15,48,63,Middle
1444,2011-03-05,Spring,2011,Maret,10,Sabtu,Holiday,mist,0.34,0.3333,0.93,0.194,34,69,103,Middle
1445,2011-03-05,Spring,2011,Maret,11,Sabtu,Holiday,mist,0.4,0.4091,0.76,0.2239,43,116,159,Middle
1446,2011-03-05,Spring,2011,Maret,12,Sabtu,Holiday,mist,0.44,0.4394,0.67,0.2537,46,121,167,Middle
1447,2011-03-05,Spring,2011,Maret,13,Sabtu,Holiday,mist,0.46,0.4545,0.67,0.2836,60,130,190,Middle
1448,2011-03-05,Spring,2011,Maret,14,Sabtu,Holiday,mist,0.48,0.4697,0.59,0.2836,80,118,198,Middle
1449,2011-03-05,Spring,2011,Maret,15,Sabtu,Holiday,mist,0.46,0.4545,0.63,0.2985,83,122,205,Middle
1450,2011-03-05,Spring,2011,Maret,16,Sabtu,Holiday,mist,0.48,0.4697,0.59,0.2985,74,130,204,Middle
1451,2011-03-05,Spring,2011,Maret,17,Sabtu,Holiday,mist,0.48,0.4697,0.59,0.3582,60,104,164,Middle
1452,2011-03-05,Spring,2011,Maret,18,Sabtu,Holiday,mist,0.48,0.4697,0.59,0.3284,37,115,152,Middle
1453,2011-03-05,Spring,2011,Maret,19,Sabtu,Holiday,mist,0.46,0.4545,0.67,0.3284,27,62,89,Middle
1454,2011-03-05,Spring,2011,Maret,20,Sabtu,Holiday,mist,0.44,0.4394,0.77,0.3284,12,58,70,Middle
1455,2011-03-05,Spring,2011,Maret,21,Sabtu,Holiday,mist,0.44,0.4394,0.72,0.3284,12,60,72,Middle
1456,2011-03-05,Spring,2011,Maret,22,Sabtu,Holiday,mist,0.42,0.4242,0.77,0.2985,16,47,63,Middle
1457,2011-03-05,Spring,2011,Maret,23,Sabtu,Holiday,mist,0.44,0.4394,0.77,0.2985,10,34,44,Middle
1458,2011-03-06,Spring,2011,Maret,0,Minggu,Holiday,mist,0.42,0.4242,0.77,0.3582,11,41,52,Middle
1459,2011-03-06,Spring,2011,Maret,1,Minggu,Holiday,mist,0.42,0.4242,0.77,0.2836,12,27,39,Low
1460,2011-03-06,Spring,2011,Maret,2,Minggu,Holiday,mist,0.4,0.4091,0.82,0.2836,5,27,32,Low
1461,2011-03-06,Spring,2011,Maret,3,Minggu,Holiday,mist,0.42,0.4242,0.82,0.2985,2,9,11,Low
1462,2011-03-06,Spring,2011,Maret,4,Minggu,Holiday,mist,0.42,0.4242,0.88,0.3582,0,3,3,Low
1463,2011-03-06,Spring,2011,Maret,6,Minggu,Holiday,mist,0.42,0.4242,0.94,0.3582,1,1,2,Low
1464,2011-03-06,Spring,2011,Maret,7,Minggu,Holiday,light snow,0.42,0.4242,1.0,0.4478,0,5,5,Low
1465,2011-03-06,Spring,2011,Maret,8,Minggu,Holiday,mist,0.4,0.4091,1.0,0.2985,1,8,9,Low
1466,2011-03-06,Spring,2011,Maret,9,Minggu,Holiday,mist,0.42,0.4242,1.0,0.2836,4,18,22,Low
1467,2011-03-06,Spring,2011,Maret,10,Minggu,Holiday,mist,0.42,0.4242,1.0,0.2985,4,27,31,Low
1468,2011-03-06,Spring,2011,Maret,11,Minggu,Holiday,mist,0.42,0.4242,1.0,0.2239,18,44,62,Middle
1469,2011-03-06,Spring,2011,Maret,12,Minggu,Holiday,mist,0.46,0.4545,0.94,0.3284,10,69,79,Middle
1470,2011-03-06,Spring,2011,Maret,13,Minggu,Holiday,mist,0.46,0.4545,0.94,0.3582,22,83,105,Middle
1471,2011-03-06,Spring,2011,Maret,14,Minggu,Holiday,light snow,0.44,0.4394,1.0,0.2239,12,27,39,Low
1472,2011-03-06,Spring,2011,Maret,15,Minggu,Holiday,light snow,0.44,0.4394,1.0,0.2239,3,4,7,Low
1473,2011-03-06,Spring,2011,Maret,16,Minggu,Holiday,light snow,0.36,0.3333,1.0,0.2836,3,8,11,Low
1474,2011-03-06,Spring,2011,Maret,17,Minggu,Holiday,light snow,0.34,0.303,1.0,0.2985,2,23,25,Low
1475,2011-03-06,Spring,2011,Maret,18,Minggu,Holiday,light snow,0.32,0.2879,1.0,0.3582,0,23,23,Low
1476,2011-03-06,Spring,2011,Maret,19,Minggu,Holiday,light snow,0.3,0.2576,1.0,0.4925,0,11,11,Low
1477,2011-03-06,Spring,2011,Maret,20,Minggu,Holiday,light snow,0.28,0.2424,1.0,0.4179,3,8,11,Low
1478,2011-03-06,Spring,2011,Maret,21,Minggu,Holiday,light snow,0.24,0.1818,0.93,0.6119,1,6,7,Low
1479,2011-03-06,Spring,2011,Maret,22,Minggu,Holiday,mist,0.22,0.197,1.0,0.3881,0,10,10,Low
1480,2011-03-06,Spring,2011,Maret,23,Minggu,Holiday,mist,0.22,0.197,1.0,0.4179,0,9,9,Low
1481,2011-03-07,Spring,2011,Maret,0,Senin,Workingday,light snow,0.2,0.1818,1.0,0.3284,0,4,4,Low
1482,2011-03-07,Spring,2011,Maret,1,Senin,Workingday,light snow,0.2,0.1818,1.0,0.3284,0,2,2,Low
1483,2011-03-07,Spring,2011,Maret,3,Senin,Workingday,clear,0.2,0.1515,0.8,0.5821,0,1,1,Low
1484,2011-03-07,Spring,2011,Maret,4,Senin,Workingday,clear,0.2,0.1515,0.8,0.5224,1,0,1,Low
1485,2011-03-07,Spring,2011,Maret,5,Senin,Workingday,clear,0.2,0.1818,0.75,0.3582,0,1,1,Low
1486,2011-03-07,Spring,2011,Maret,6,Senin,Workingday,clear,0.2,0.1818,0.75,0.3881,3,31,34,Low
1487,2011-03-07,Spring,2011,Maret,7,Senin,Workingday,clear,0.2,0.1667,0.75,0.4179,3,88,91,Middle
1488,2011-03-07,Spring,2011,Maret,8,Senin,Workingday,clear,0.2,0.1818,0.75,0.3881,11,200,211,Middle
1489,2011-03-07,Spring,2011,Maret,9,Senin,Workingday,clear,0.22,0.1818,0.64,0.4627,5,129,134,Middle
1490,2011-03-07,Spring,2011,Maret,10,Senin,Workingday,clear,0.24,0.2121,0.6,0.2985,15,43,58,Middle
1491,2011-03-07,Spring,2011,Maret,11,Senin,Workingday,clear,0.26,0.2121,0.48,0.4478,19,41,60,Middle
1492,2011-03-07,Spring,2011,Maret,12,Senin,Workingday,clear,0.3,0.2727,0.42,0.4179,28,68,96,Middle
1493,2011-03-07,Spring,2011,Maret,13,Senin,Workingday,clear,0.32,0.2879,0.36,0.3881,16,54,70,Middle
1494,2011-03-07,Spring,2011,Maret,14,Senin,Workingday,clear,0.32,0.2879,0.36,0.4179,21,56,77,Middle
1495,2011-03-07,Spring,2011,Maret,15,Senin,Workingday,clear,0.34,0.303,0.31,0.3881,32,64,96,Middle
1496,2011-03-07,Spring,2011,Maret,16,Senin,Workingday,clear,0.34,0.303,0.31,0.3582,26,96,122,Middle
1497,2011-03-07,Spring,2011,Maret,17,Senin,Workingday,clear,0.34,0.303,0.29,0.3582,27,206,233,Middle
1498,2011-03-07,Spring,2011,Maret,18,Senin,Workingday,clear,0.32,0.303,0.31,0.2239,19,214,233,Middle
1499,2011-03-07,Spring,2011,Maret,19,Senin,Workingday,clear,0.3,0.2879,0.33,0.2239,11,134,145,Middle
1500,2011-03-07,Spring,2011,Maret,20,Senin,Workingday,clear,0.3,0.303,0.33,0.1642,5,87,92,Middle
1501,2011-03-07,Spring,2011,Maret,21,Senin,Workingday,clear,0.28,0.2727,0.38,0.2239,1,53,54,Middle
1502,2011-03-07,Spring,2011,Maret,22,Senin,Workingday,clear,0.26,0.2576,0.48,0.1642,1,34,35,Low
1503,2011-03-07,Spring,2011,Maret,23,Senin,Workingday,clear,0.28,0.3182,0.48,0.0,0,22,22,Low
1504,2011-03-08,Spring,2011,Maret,0,Selasa,Workingday,clear,0.26,0.2879,0.48,0.0896,1,9,10,Low
1505,2011-03-08,Spring,2011,Maret,1,Selasa,Workingday,clear,0.24,0.2424,0.52,0.1343,0,4,4,Low
1506,2011-03-08,Spring,2011,Maret,2,Selasa,Workingday,clear,0.24,0.2424,0.52,0.1343,1,0,1,Low
1507,2011-03-08,Spring,2011,Maret,3,Selasa,Workingday,clear,0.24,0.2576,0.52,0.0896,5,2,7,Low
1508,2011-03-08,Spring,2011,Maret,4,Selasa,Workingday,clear,0.22,0.2727,0.64,0.0,0,2,2,Low
1509,2011-03-08,Spring,2011,Maret,5,Selasa,Workingday,clear,0.2,0.2273,0.69,0.1045,2,8,10,Low
1510,2011-03-08,Spring,2011,Maret,6,Selasa,Workingday,clear,0.2,0.2576,0.59,0.0,3,42,45,Middle
1511,2011-03-08,Spring,2011,Maret,7,Selasa,Workingday,clear,0.18,0.197,0.64,0.1343,9,119,128,Middle
1512,2011-03-08,Spring,2011,Maret,8,Selasa,Workingday,clear,0.22,0.2273,0.55,0.194,10,247,257,Middle
1513,2011-03-08,Spring,2011,Maret,9,Selasa,Workingday,clear,0.26,0.2576,0.41,0.1642,11,140,151,Middle
1514,2011-03-08,Spring,2011,Maret,10,Selasa,Workingday,mist,0.3,0.2879,0.33,0.194,25,46,71,Middle
1515,2011-03-08,Spring,2011,Maret,11,Selasa,Workingday,mist,0.36,0.3485,0.25,0.1642,26,52,78,Middle
1516,2011-03-08,Spring,2011,Maret,12,Selasa,Workingday,mist,0.36,0.3788,0.23,0.0,29,70,99,Middle
1517,2011-03-08,Spring,2011,Maret,13,Selasa,Workingday,mist,0.38,0.3939,0.25,0.1045,25,73,98,Middle
1518,2011-03-08,Spring,2011,Maret,14,Selasa,Workingday,mist,0.38,0.3939,0.2,0.0,16,56,72,Middle
1519,2011-03-08,Spring,2011,Maret,15,Selasa,Workingday,mist,0.36,0.3788,0.18,0.0,35,77,112,Middle
1520,2011-03-08,Spring,2011,Maret,16,Selasa,Workingday,clear,0.38,0.3939,0.27,0.1642,26,82,108,Middle
1521,2011-03-08,Spring,2011,Maret,17,Selasa,Workingday,clear,0.36,0.3485,0.27,0.2239,39,209,248,Middle
1522,2011-03-08,Spring,2011,Maret,18,Selasa,Workingday,clear,0.34,0.3333,0.27,0.194,21,214,235,Middle
1523,2011-03-08,Spring,2011,Maret,19,Selasa,Workingday,clear,0.34,0.3485,0.31,0.1045,9,141,150,Middle
1524,2011-03-08,Spring,2011,Maret,20,Selasa,Workingday,clear,0.32,0.3333,0.39,0.0896,2,74,76,Middle
1525,2011-03-08,Spring,2011,Maret,21,Selasa,Workingday,clear,0.3,0.2879,0.49,0.194,7,68,75,Middle
1526,2011-03-08,Spring,2011,Maret,22,Selasa,Workingday,clear,0.3,0.2879,0.49,0.2239,11,44,55,Middle
1527,2011-03-08,Spring,2011,Maret,23,Selasa,Workingday,clear,0.28,0.2727,0.61,0.194,3,38,41,Middle
1528,2011-03-09,Spring,2011,Maret,0,Rabu,Workingday,clear,0.26,0.2879,0.65,0.0896,0,9,9,Low
1529,2011-03-09,Spring,2011,Maret,1,Rabu,Workingday,clear,0.26,0.2727,0.52,0.1343,0,4,4,Low
